show_id,type,title,director,cast,country,date_added,release_year,rating,listed_in,description,duration_minutes,duration_seasons
s2840,Movie,"93 Days","Steve Gukas","Bimbo Akintola, Somkele Iyamah, Danny Glover, Gideon Okeke, Seun Kentebe, Keppy Ekpenyong, Zara Udofia Ejoh, Bimbo Manuel, Patrick Diabuah, Tina Mba, Alastair Mackenzie, Tim Reid",Nigeria,2020-03-05,2016,TV-PG,"Dramas, International Movies, Thrillers","Heroic health workers fight to contain an Ebola outbreak when a patient arrives in Lagos with symptoms of the deadly virus. Based on a true story.",121,NULL
s851,Movie,"99 Songs","Vishwesh Krishnamoorthy","Ehan Bhat, Edilsy Vargas, Manisha Koirala, Lisa Ray, Tenzin Dalha, Warina Hussain, Ranjit Barot, Neel Tyagi, Rahul Ram, Diwakar Pundir",India,2021-05-21,2021,TV-14,"Dramas, International Movies, Music & Musicals","Challenged to compose 100 songs before he can marry the girl he loves, a tortured but passionate singer-songwriter embarks on a poignant musical journey.",131,NULL
s852,Movie,"99 Songs (Tamil)",Unknown,Unknown,,2021-05-21,2021,TV-14,"Dramas, International Movies, Music & Musicals","Challenged to compose 100 songs before he can marry the girl he loves, a tortured but passionate singer-songwriter embarks on a poignant musical journey.",131,NULL
s853,Movie,"99 Songs (Telugu)",Unknown,Unknown,,2021-05-21,2021,TV-14,"Dramas, International Movies, Music & Musicals","Challenged to compose 100 songs before he can marry the girl he loves, a tortured but passionate singer-songwriter embarks on a poignant musical journey.",131,NULL
s405,Movie,"9to5: The Story of a Movement",Unknown,Unknown,,2021-07-22,2021,TV-MA,Documentaries,"In this documentary, female office workers in '70s Boston inspire change with a call for better pay, more opportunities and an end to sexual harassment.",85,NULL
s5390,Movie,"A 2nd Chance","Clay Glen","Nina Pearce, Adam Tuominen, Emily Morris, Amy Handley, Carmel Johnson, Alanah Gilbert, Hapi Murphy, Lilly Blacker, Julie Kay Lumasag, Elysia Markou",Australia,2017-07-01,2011,PG,"Children & Family Movies, Dramas, Sports Movies","A gymnast lacks the confidence she needs to reach the top. But with the help of her new coach, she has the chance to win a spot on the national team.",95,NULL
s3366,Movie,"A 3 Minute Hug","Everardo González",Unknown,"Mexico, United States",2019-10-28,2019,TV-PG,"Documentaries, International Movies","This documentary captures the joy and heartbreak of families separated by the U.S.-Mexico border sharing a short but bittersweet reunion in 2018.",28,NULL
s1845,Movie,"A Babysitter's Guide to Monster Hunting","Rachel Talalay","Tamara Smart, Oona Laurence, Tom Felton, Troy Leigh-Anne Johnson, Lynn Masako Cheng, Ty Consiglio, Ian Ho, Indya Moore, Alessio Scalzotto, Tamsen McDonough","United States",2020-10-15,2020,TV-PG,"Children & Family Movies","Recruited by a secret society of babysitters, a high schooler battles the Boogeyman and his monsters when they nab the boy she's watching on Halloween.",99,NULL
s6028,Movie,"A Bad Moms Christmas","Jon Lucas, Scott Moore","Mila Kunis, Kristen Bell, Kathryn Hahn, Susan Sarandon, Christine Baranski, Jay Hernandez, Cheryl Hines, Peter Gallagher, Justin Hartley","United States, China",2020-02-14,2017,R,Comedies,"Stressed-out moms Amy, Carla and Kiki are back, and the looming Christmas holiday gets even more daunting when their mothers show up for a visit.",104,NULL
s4330,Movie,"A Beautiful Life","Andrew Lau Wai-Keung","Qi Shu, Liu Ye, Anthony Wong Chau-Sang, Liang Tian, Danying Feng, Rina Sa, Zhang Songwen, Tian Gao, Andrew Lin","China, Hong Kong",2018-12-01,2011,TV-14,"Dramas, International Movies, Romantic Movies","After meeting under awkward circumstances, a glamorous businesswoman and a tradition-bound policeman begin a relationship that changes their lives.",122,NULL
s6029,Movie,"A Billion Colour Story","Padmakumar Narasimhamurthy","Dhruva Padmakumar, Gaurav Sharma, Vasuki",India,2018-04-01,2016,TV-14,"Dramas, Independent Movies, International Movies","The curious child of idealistic interfaith parents observes an increasingly intolerant world as his family faces financial strain.",104,NULL
s6030,Movie,"A Boy Called Po","John Asher","Christopher Gorham, Julian Feder, Kaitlin Doubleday, Andrew Bowen, Caitlin Carmichael, Sean Gunn, Bryan Batt, Fay Masterson, Brian George","United States",2018-01-15,2016,PG,"Dramas, Sci-Fi & Fantasy","After his wife's death, an overworked engineer struggles to care for his son with autism, who regresses into a fantasy world to escape real-life bullying.",94,NULL
s5289,"TV Show","A Boy Name Flora A",Unknown,"Crowd Lu, Tsai Chen-nan, Lotus Wang, Fan Chu-Mei, Hsieh Ying-shiuan, Vera Yen, Cammy Chiang",Taiwan,2017-09-01,2017,TV-MA,"International TV Shows, TV Comedies, TV Dramas","A 28-year-old layabout begins to re-examine his life when his dysfunctional family assembles to pay respects to a dying grandmother who won’t pass on.",NULL,1
s6031,Movie,"A Bridge Too Far","Richard Attenborough","Dirk Bogarde, James Caan, Michael Caine, Sean Connery, Edward Fox, Elliott Gould, Gene Hackman, Anthony Hopkins, Hardy Krüger, Laurence Olivier, Ryan O'Neal, Robert Redford, Maximilian Schell, Liv Ullmann","United States, United Kingdom",2020-07-01,1977,PG,"Action & Adventure, Classic Movies, Dramas","This wartime drama details a pivotal day in 1944 when an Allied task force tried to win World War II by seizing control of key bridges in Holland.",176,NULL
s1551,Movie,"A California Christmas","Shaun Paul Piccinino","Lauren Swickard, Josh Swickard, Ali Afshar, David Del Rio, Natalia Mann, Katelyn Epperly, Gunnar Anderson, Julie Lancaster, Amanda Detmer","United States",2020-12-14,2020,PG-13,"Comedies, Romantic Movies","With his carefree lifestyle on the line, a wealthy charmer poses as a ranch hand to get a hardworking farmer to sell her family’s land before Christmas.",107,NULL
s108,Movie,"A Champion Heart","David de Vos","Mandy Grace, David de Vos, Donna Rusch, Devan Key, Isabella Mancuso, Ariana Guido","United States",2021-09-04,2018,G,"Children & Family Movies, Dramas","When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected.",90,NULL
s1892,Movie,"A Chaster Marriage","Umut Kirca","Emre Karayel, Ceren Moray, Begüm Kütük, Ececan Gümeci, Ümit Erdim, Cem Kiliç, Haldun Boysan, Ferdi Akarnur, Mine Teber, Güneş Hayat",Turkey,2020-10-02,2016,TV-14,"Comedies, International Movies, Romantic Movies","Forced to wed his childhood friend, a man obsessed with football attempts to get rid of his wife in order to keep the woman he truly loves.",94,NULL
s1856,Movie,"A Choo","Kevin Ko, Peter Tsi","Kai Ko, Ariel Lin, Darren Wang, Zhang Xiaolong, Louis Koo, Vanness Wu, Kate Tsui",Taiwan,2020-10-14,2020,TV-14,"Action & Adventure, International Movies, Romantic Movies","Determined to win the heart of his childhood crush from orphanage, EJ becomes a boxer with superpowers and soon confronts a formidable villain.",101,NULL
s1739,Movie,"A Christmas Catch",Unknown,"Emily Alatalo, Lauren Holly, Yanic Truesdale, Franco Lo Presti, Andrew Bushell, Genelle Williams, Kyana Teresa, Eric Hicks",Canada,2020-11-04,2018,TV-G,"Dramas, Romantic Movies","A cop working undercover to trail a possible diamond thief gets caught in a tricky spot when she finds new clues — and new feelings — for the suspect.",87,NULL
s5164,Movie,"A Christmas Prince","Alex Zamm","Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey","United States",2017-11-17,2017,TV-PG,"Children & Family Movies, Dramas, Romantic Movies","Christmas comes early for an aspiring young journalist when she's sent abroad to get the scoop on a dashing prince who's poised to be king.",92,NULL
s3181,Movie,"A Christmas Prince: The Royal Baby","John Schultz","Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey, Sarah Douglas, Andy Lucas, Raj Bajaj, Richard Ashton, Tahirah Sharif, Joel McVeagh, Theo Devaney, Kevin Shen, Momo Yeung, Crystal Yu, Billy Angel","United States",2019-12-05,2019,TV-PG,"Children & Family Movies, Dramas, Romantic Movies","Christmas brings the ultimate gift to Aldovia: a royal baby. But first, Queen Amber must save her family and kingdom by unwrapping a monarchy mystery.",85,NULL
s4352,Movie,"A Christmas Prince: The Royal Wedding","John Schultz","Rose McIver, Ben Lamb, Alice Krige, Simon Dutton, Honor Kneafsey, Sarah Douglas, Theo Devaney, John Guerrasio, Andy Lucas, Raj Bajaj, Richard Ashton, Billy Angel, Tahirah Sharif, Joel McVeagh","United States",2018-11-30,2018,TV-PG,"Children & Family Movies, Dramas, Romantic Movies","A year after helping Richard secure the crown, Amber returns to Aldovia to plan their wedding. But her simple tastes clash with royal protocol.",93,NULL
s5660,Movie,"A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir","Thomas Astruc","Cristina Vee, Bryce Papenbrook, Keith Silverstein, Mela Lee, Max Mittelman, Carrie Keranen, Stephanie Sheh, Selah Victor, Ben Diskin, Erin Fitzgerald, Grant George","France, South Korea, Japan",2016-12-20,2016,TV-Y7,Movies,"Parisian teen Marinette transforms herself into superhero Ladybug to find her lonely secret crush Adrien when he runs away from home at Christmas.",22,NULL
s128,Movie,"A Cinderella Story","Mark Rosman","Hilary Duff, Chad Michael Murray, Jennifer Coolidge, Dan Byrd, Regina King, Julie Gonzalo, Lin Shaye, Madeline Zima, Andrea Avery, Mary Pat Gleason, Paul Rodriguez, Whip Hubley, Kevin Kilner, Erica Hubbard, Simon Helberg","United States, Canada",2021-09-01,2004,PG,"Children & Family Movies, Comedies","Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?",95,NULL
s3189,Movie,"A Cinderella Story: Christmas Wish","Michelle Johnston","Laura Marano, Gregg Sulkin, Isabella Gomez, Johannah Newmarch, Lillian Doucet-Roche, Chanelle Peloso, Barclay Hope, Garfield Wilson","United States",2019-12-01,2019,PG,"Children & Family Movies, Comedies, Music & Musicals","Despite her vain stepmother and mean stepsisters, an aspiring singer works as an elf at a Christmas tree lot and finds her own holiday miracle.",86,NULL
s464,Movie,"A Classic Horror Story","Roberto De Feo, Paolo Strippoli","Matilda Lutz, Francesco Russo, Peppino Mazzotta, Will Merrick, Yuliia Sobol, Alida Baldari Calabria, Cristina Donadio, Francesca Cavallin",Italy,2021-07-14,2021,TV-MA,"Horror Movies, International Movies","In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive.",95,NULL
s6032,Movie,"A Clockwork Orange","Stanley Kubrick","Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke, Adrienne Corri, Paul Farrell, Miriam Karlin, James Marcus","United Kingdom, United States",2020-11-01,1971,R,"Classic Movies, Cult Movies, Dramas","In this dark satire from director Stanley Kubrick, a young, vicious sociopath in a dystopian England undergoes an experimental rehabilitation therapy.",137,NULL
s6033,Movie,"A Dangerous Woman","Stephen Gyllenhaal","Debra Winger, Barbara Hershey, Gabriel Byrne, Laurie Metcalf, John Terry, Maggie Gyllenhaal, Jake Gyllenhaal, Chloe Webb, David Strathairn","United States",2018-04-01,1993,R,"Dramas, Romantic Movies","At the center of this engrossing melodrama is a Golden Globe-nominated turn by Debra Winger, who plays a sheltered, slow-witted woman living with her widowed Aunt Frances while working at a dry cleaners.",101,NULL
s3316,Movie,"A Fairly Odd Summer","Savage Steve Holland","Drake Bell, Daniella Monet, David Lewis, Susanne Blakeslee, Daran Norris, Scott Baio, Devon Weigel, Ella Anderson, Carter Hastings","United States",2019-11-02,2014,TV-Y7,"Children & Family Movies, Comedies","In this live-action adventure, the gang heads to Hawaii, where Timmy learns the source of all fairy magic is in dangerous hands.",68,NULL
s3010,Movie,"A Fall from Grace","Tyler Perry","Crystal Fox, Phylicia Rashad, Cicely Tyson, Bresha Webb, Mehcad Brooks, Adrian Pasdar, Tyler Perry","United States",2020-01-17,2020,TV-MA,"Dramas, Thrillers","When gentle, law-abiding Grace confesses to killing her new husband, her skeptical young lawyer sets out to uncover the truth. A film by Tyler Perry.",121,NULL
s684,Movie,"A Family","Michihito Fujii","Go Ayano, Hiroshi Tachi, Machiko Ono, Yukiya Kitamura, Hayato Ichihara, Hayato Isomura, Shun Sugata, Suon Kan, Ryutaro Ninomiya, Taro Suruga, Ryo Iwamatsu, Kosuke Toyohara, Shinobu Terajima",,2021-06-18,2021,TV-MA,"Dramas, International Movies","Taken in by the yakuza at a young age, Kenji swears allegiance to his old-school boss, pledging to adhere to the family code amid ever-changing times.",135,NULL
s6034,Movie,"A Family Affair","Tom Fassaert","Tom Fassaert","Netherlands, Denmark, South Africa",2016-10-16,2015,TV-PG,"Documentaries, International Movies","The filmmaker hunts for the missing puzzle pieces of his family history during a visit with a complex and controversial figure: his grandmother.",111,NULL
s6035,Movie,"A Family Man","Mark Williams","Gerard Butler, Gretchen Mol, Alison Brie, Willem Dafoe, Alfred Molina, Maxwell Jenkins, Anupam Kher, Dustin Milligan","Canada, United States",2019-12-15,2016,R,Dramas,"A ruthless corporate headhunter battles his rival for a promotion while dealing with a family crisis that threatens to derail his career.",110,NULL
s3162,Movie,"A Family Reunion Christmas","Robbie Countryman","Loretta Devine, Tia Mowry-Hardrict, Anthony Alabi, Talia Jackson, Isaiah Russell-Bailey, Cameron J. Wright, Jordyn Raya James, Jackée Harry, Richard Roundtree","United States",2019-12-09,2019,TV-PG,"Children & Family Movies, Comedies","M'Dear and her sisters struggle to keep their singing act together before a church Christmas pageant while Grandpa teaches the kids a valuable lesson.",29,NULL
s251,Movie,"A Faraway Land","Veronica Velasco","Paolo Contis, Yen Santos, Hans Tórgarð, Ruby Ruiz, Zweden Obias, Maria Rianne Castro, Arianne Mavis Uera, Maricor Canlas",,2021-08-19,2020,TV-PG,"Dramas, International Movies, Romantic Movies","In the Faroe Islands, a married woman meets a reporter filming a documentary on overseas Filipino workers, which soon sparks a complicated love story.",102,NULL
s6036,Movie,"A Flying Jatt","Remo D'Souza","Tiger Shroff, Jacqueline Fernandez, Nathan Jones, Kay Kay Menon, Amrita Singh, Gaurav Pandey, Shraddha Kapoor, Amrita Puri",India,2017-11-15,2016,TV-14,"Action & Adventure, International Movies, Sci-Fi & Fantasy","A timid man gets unexpected superpowers while trying to save his family's land and a sacred tree from a ruthless tycoon.",142,NULL
s3895,Movie,"A Fortunate Man","Bille August","Esben Smed, Katrine Rosenthal, Benjamin Kitter, Julie Christiansen, Tommy Kenter, Tammi Øst, Rasmus Bjerg, Ole Lemmeke, Sarah Viktoria Bjerregaard, Anders Hove, Jens Albinus",Denmark,2019-04-20,2018,TV-MA,"Dramas, International Movies","A gifted engineer flees his austere roots to pursue wealth and success among Copenhagen's elite, but the pride propelling him threatens to be his ruin.",168,NULL
s5060,Movie,"A Futile and Stupid Gesture","David Wain","Will Forte, Domhnall Gleeson, Martin Mull, Joel McHale, Matt Lucas, Thomas Lennon, Seth Green, Jackie Tohn, Natasha Lyonne, Emmy Rossum, Elvy Yost, Matt Walsh, John Gemberling, Rick Glassman, Camille Guaty","United States",2018-01-26,2018,TV-MA,Comedies,"In a brief life full of triumph and failure, "National Lampoon" co-founder Doug Kenney built a comedy empire, molding pop culture in the 1970s.",102,NULL
s3044,Movie,"A Ghost Story","David Lowery","Casey Affleck, Rooney Mara, Liz Franke, Rob Zabrecky, Will Oldham, Sonia Acevedo","United States",2020-01-07,2017,R,"Dramas, Independent Movies","Following a fatal car crash, a man's spirit remains stuck in the home he shared with his wife as doors into the past and future begin to open.",92,NULL
s6037,Movie,"A Glimpse Inside the Mind of Charles Swan III","Roman Coppola","Charlie Sheen, Jason Schwartzman, Bill Murray, Katheryn Winnick, Patricia Arquette, Aubrey Plaza, Mary Elizabeth Winstead, Dermot Mulroney","United States",2018-07-15,2012,R,"Comedies, Independent Movies","When his girlfriend walks out and leaves him a wreck, a graphic designer – who seemed to have it all – sets out to discover where he went wrong.",86,NULL
s1636,Movie,"A Go! Go! Cory Carson Christmas","Stanley Moore, Alex Woo","Alan C. Lim, Taron C. Hensley, Maisie Benson, Kerry Gudjohnsen, Paul Killam, Smith Foreman, Ann Kendrick, Ella Joy Ballesteros, Neena-Sinaii Simpo, Eli Morse","United States",2020-11-27,2020,TV-Y,"Children & Family Movies","When a familiar-looking stranger crashes in without a memory, Cory helps him remember the magic of Christmas to save the holiday for everyone.",22,NULL
s1893,Movie,"A Go! Go! Cory Carson Halloween","Alex Woo, Stanley Moore","Alan C. Lim, Smith Foreman, Maisie Benson, Ann Kendrick, Kerry Gudjohnsen, Paul Killam, Stanley Moore, Tyler Hendrix, Ella Joy Ballesteros, Jimmy Olea",,2020-10-02,2020,TV-Y,"Children & Family Movies","Cory, Chrissy and Freddie are on the hunt for king-sized candy bars this Halloween! But are all the treats worth the trek to the spooky side of town?",22,NULL
s2167,Movie,"A Go! Go! Cory Carson Summer Camp","Stanley Moore, Alex Woo","Alan C. Lim, Smith Foreman, Abigail Vibat, Pfifer Chastain, Jim Capobianco, Neena-Sinaii Simpo, Eli Morse, Adelaide Hirasaki, Paul Killam, Kerry Gudjohnsen, Maisie Benson",,2020-08-04,2020,TV-Y,"Children & Family Movies","Cory's spending the summer at Camp Friendship with his best friend, Freddie. But jealousy flares when Freddie brings his cousin Rosie along for the ride.",21,NULL
s6038,"TV Show","A Good Wife",Unknown,"Tien Hsin, Christopher Lee, Darren Chiu, Shara Lin, Blaire Chang, Xi Man-Ning, Chu De-Kang",Taiwan,2017-01-01,2013,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas","As her seemingly idyllic life begins to crumble, a lonely woman in a restrictive marriage starts an affair with a gentle bookstore owner.",NULL,1
s5727,Movie,"A Grand Night In: The Story of Aardman","Richard Mears","Julie Walters","United Kingdom",2016-11-01,2015,TV-PG,Documentaries,"Aardman Animations icons Wallace & Gromit, Morph and more join fans and collaborators for a retrospective celebrating the studio's 40th anniversary.",59,NULL
s6039,Movie,"A Gray State","Erik Nelson",Unknown,"United States",2017-12-25,2017,TV-MA,Documentaries,"This documentary dissects the case of a filmmaker whose death, along with the deaths of his wife and daughter, sparked alt-right conspiracy theories.",93,NULL
s6040,Movie,"A Haunted House","Michael Tiddes","Marlon Wayans, Essence Atkins, Cedric the Entertainer, Nick Swardson, David Koechner, Dave Sheridan, Affion Crockett, J.B. Smoove, Andrew Daly, Alanna Ubach","United States",2020-02-21,2013,R,"Comedies, Horror Movies","This spoof on scary movies follows a young couple settling into a new home, where an evil spirit — and horrifyingly hilarious antics — await.",86,NULL
s741,Movie,"A Haunted House 2","Michael Tiddes","Marlon Wayans, Jaime Pressly, Essence Atkins, Affion Crockett, Hayes MacArthur, Rick Overton, Ashley Rickards, Cedric the Entertainer, Dave Sheridan, Missi Pyle, Gabriel Iglesias, Steele Stebbins","United States",2021-06-10,2014,R,"Comedies, Horror Movies","Grieving after a tragedy, Malcolm tries to start fresh with his new girlfriend and her kids — but supernatural shenanigans find their way back to him.",86,NULL
s6041,Movie,"A Haunting at Silver Falls: The Return","Teo Konuralp","Laura Flannery, James Cavlo, Harry Hains, Clemmie Dugdale, Dendrie Taylor, Bryan Chesters, Jennifer Dorogi, Adam Lazarre-White, Nikita Ramsey","United States",2019-09-17,2019,TV-14,"Horror Movies, Independent Movies","When the ghost of her serial killer aunt seemingly resurfaces, Jordan must return to Silver Falls in hopes of finally putting an end to the torment.",80,NULL
s5601,Movie,"A Heavy Heart","Thomas Stuber","Peter Kurth, Lena Lauzemis, Lina Wendel, Edin Hasanovic, Marko Dyrlich, Peter Schneider, Reiner Schöne, Udo Kroschwald",Germany,2017-02-15,2015,TV-MA,"Dramas, Independent Movies, International Movies","Long past his heyday, a still-virile boxer tries to reconnect with his daughter as he confronts the onset of a terminal, degenerative neural disorder.",109,NULL
s6042,Movie,"A Holiday Engagement","Jim Fall","Bonnie Somerville, Shelley Long, Jordan Bridges, Sam McMurray, Haylie Duff, Sam Horrigan, Carrie Wiita, Chris McKenna, Edi Patterson, Jennifer Elise Cox","United States",2019-11-04,2011,TV-G,"Children & Family Movies, Comedies, Romantic Movies","Hilary's plan to hire a good-looking guy to act as her boyfriend backfires when she brings him home for the holidays to try and fool her family.",92,NULL
s3876,Movie,"A Home with A View","Herman Yau","Francis Chun-Yu Ng, Louis Koo, Anita Yuen, Tat-Ming Cheung, Jocelyn Choi, Ng Siu-hin, Lam Suet, Anthony Wong Chau-Sang, Lo Hoi-pang","Hong Kong",2019-04-30,2019,TV-MA,"Comedies, International Movies","When a neighbor blocks their view of the city with a commercial billboard, a Hong Kong family resorts to drastic, imaginative measures to take it down.",92,NULL
s5290,"TV Show","A House of Blocks",Unknown,"Eli Shi, Phoebe Lin, Chen Wan-ting, Fan Chen-fei, Lu Hsueh-feng, Figaro Tseng, Winnie Chang, Elten Ting",Taiwan,2017-09-01,2017,TV-PG,"International TV Shows, TV Dramas, TV Horror","Yijuan and her mentally ill sister Kaiqi struggle to be happy in the face of misfortune, criminal intrigue, marital strife, an exorcism and a ghost.",NULL,1
s2263,Movie,"A Kid from Coney Island","Coodie, Chike","Stephon Marbury","United States, China",2020-07-06,2019,TV-MA,"Documentaries, Sports Movies","From gifted athlete to professional NBA hooper, Coney Island's Stephon Marbury navigates the pressures, pitfalls and peaks of his basketball journey.",89,NULL
s6043,Movie,"A Kind of Murder","Andy Goddard","Patrick Wilson, Jessica Biel, Vincent Kartheiser, Haley Bennett, Eddie Marsan, Jon Osbeck, Radek Lord, Christine Dye","United States",2017-05-01,2016,R,Thrillers,"Obsessed with an unsolved murder case, a crime novelist stuck in an unhappy marriage fantasizes about killing his wife, who soon turns up dead.",96,NULL
s4045,"TV Show","A Korean Odyssey",Unknown,"Lee Seung-gi, Cha Seung-won, Oh Yeon-seo, Lee Hong-gi, Jang Gwang, Lee Se-young","South Korea",2019-03-05,2017,TV-MA,"International TV Shows, Korean TV Shows, Romantic TV Shows","A self-serving mythical creature's bid for invincibility backfires when he finds himself at the mercy of a woman who can see otherworldly beings.",NULL,1
s509,Movie,"A Land Imagined","Yeo Siew Hua","Peter Yu, Liu Xiaoyi, Guo Yue, Ishtiaque Zico, Jack Tan","France, Netherlands, Singapore",2021-07-06,2019,TV-MA,"Dramas, International Movies","A cop in Singapore investigates the disappearance of a Chinese migrant construction worker who spent sleepless nights playing a mysterious video game.",95,NULL
s6044,Movie,"A Leaf of Faith","Chris Bell",Unknown,"United States",2018-08-27,2018,TV-MA,Documentaries,"This documentary takes a deep dive into the benefits, dangers and lingering questions around Kratom leaf as an alternative to opioid painkillers.",87,NULL
s2787,Movie,"A Life of Speed: The Juan Manuel Fangio Story","Francisco Macri",Unknown,Argentina,2020-03-20,2020,TV-14,"Documentaries, International Movies, Sports Movies","Juan Manuel Fangio was the Formula One king, winning five world championships in the early 1950s — before protective gear or safety features were used.",93,NULL
s1722,"TV Show","A Lion in the House","Steven Bognar, Julia Reichert",Unknown,"United States",2020-11-10,2006,TV-14,"TV Shows","Five kids and their resilient families navigate the treatments and traumas of pediatric cancer in this documentary filmed over the course of six years.",NULL,1
s3906,Movie,"A Little Chaos","Alan Rickman","Kate Winslet, Matthias Schoenaerts, Alan Rickman, Stanley Tucci, Helen McCrory, Steven Waddington, Jennifer Ehle, Rupert Penry-Jones, Paula Paul, Danny Webb, Phyllida Law","United Kingdom",2019-04-17,2014,R,"Dramas, Independent Movies, International Movies","A willful young woman is hired to design a garden at Versailles for Louis XIV. Soon, she's ensnared in political and romantic complications.",113,NULL
s4875,"TV Show","A Little Help with Carol Burnett",Unknown,"Carol Burnett, Russell Peters, Mark Cuban, Taraji P. Henson, Brittany Snow, Wanda Sykes, Derek Hough, Billy Eichner, Lisa Kudrow, Candace Cameron Bure, DJ Khaled, Tony Hale, Julie Bowen","United States",2018-05-04,2018,TV-G,"Stand-Up Comedy & Talk Shows, TV Comedies","Comedy icon Carol Burnett returns to TV with a panel of clever kids, who help adults and celebrity guests solve their problems with brutal honesty.",NULL,1
s3369,"TV Show","A Little Thing Called First Love",Unknown,"Lai Kuan-lin, Zhao Jinmai, Wang Runze, Chai Wei, Wang Bowen",China,2019-10-26,2019,TV-G,"International TV Shows, Romantic TV Shows, Teen TV Shows","A shy college student with a knack for drawing develops a crush on a musically gifted classmate and embarks on a journey of self-discovery.",NULL,1
s1484,"TV Show","A Love So Beautiful",Unknown,"Kim Yo-han, So Joo-yeon, Yeo Hoi-hyun, Jeong Jin-hwan, Jo Hye-joo, Yun Seo-hyun, Cho Ryun, Kim Sung-gon, Seong Hye-min, Park Ji-won","South Korea",2020-12-28,2020,TV-PG,"International TV Shows, Romantic TV Shows, TV Comedies","Love is as tough as it is sweet for a lovestruck teenager, whose relationship with her next-door neighbor transforms as they grow into adulthood.",NULL,1
s1963,Movie,"A Love Song for Latasha","Sophia Nahli Allison",Unknown,"United States",2020-09-21,2020,TV-PG,Documentaries,"The killing of Latasha Harlins became a flashpoint for the 1992 LA uprising. This documentary evocatively explores the 15-year-old's life and dreams.",20,NULL
s4018,Movie,"A Love Story","Maryo J. De los Reyes","Maricel Soriano, Aga Muhlach, Angelica Panganiban, Dante Rivero, Chin Chin Gutierrez, Bobby Andrews, TJ Trinidad, Baron Geisler, John Arcilla, Gerald Madrid",Philippines,2019-03-14,2007,TV-14,"Dramas, International Movies, Romantic Movies","Self-made millionaire Ian thinks he's found happiness when he marries caring Joanna, but his love is put to the test when he meets stewardess Karyn.",117,NULL
s6045,"TV Show","A Man Called God",Unknown,"Song Il-gook, Han Chae-young, Kim Min-jong, Go Eun Han, Jung Hoon Lee, Nam Da-Reum, Yoo In-young","South Korea",2019-03-12,2010,TV-14,"Crime TV Shows, International TV Shows, Korean TV Shows","Raised in America, government agent Choi Kang-Ta returns to Korea with the skills of an assassin and a thirst for revenge on his father’s killers.",NULL,1
s705,Movie,"A Man For The Week End","Achille Brice","Syndy Emade, Alexx Ekubo, Solange Ojong, Nchifor Valery, Miss Li, Becky Takang, Anurin Nwunembom, Nkwah Kingsley, Roger Brice Sobgo, Jeanne Mbenti",,2021-06-16,2018,TV-14,"Comedies, Dramas, International Movies","A career-focused woman convinces a colleague to pose as her boyfriend for a family visit — and must face a meddling mom and some unexpected feelings.",95,NULL
s5747,Movie,"A Mighty Team","Thomas Sorriaux","Gérard Depardieu, Chantal Lauby, Medi Sadoun, Ilian Bergala, Blanche Gardin, Patrick Timsit, Barbara Cabrita, Jean Dell, Thomas Vandenberghe, Théo Fernandez, Léa Lopez",France,2016-10-15,2016,TV-MA,"Comedies, International Movies, Sports Movies","When a fit of anger leads to a serious injury, a sidelined soccer star returns to his hometown and reluctantly agrees to train the local youth.",97,NULL
s6046,Movie,"A Mission in an Old Movie","Ahmad El-Badri","Edward, Fifi Abdo, Lotfy Labib, Madeleine Matar, Nahla Zaki, Ahmed Fathy, Said Tarabeek, Badriya Tolba, Eman El-Sayed",,2019-04-25,2012,TV-MA,"Comedies, International Movies","A young man struggles with his overbearing mother while looking for romance and a way to kick-start his show business career.",98,NULL
s1398,Movie,"A Monster Calls","J.A. Bayona","Lewis MacDougall, Sigourney Weaver, Felicity Jones, Liam Neeson, Toby Kebbell, Ben Moor, James Melville, Oliver Steer, Dominic Boyle, Geraldine Chaplin, Jennifer Lim","United Kingdom, Spain, United States",2021-01-16,2016,PG-13,"Dramas, Sci-Fi & Fantasy","Overwhelmed by his mother’s illness, a young boy begins to understand human complexity through the fantastic tales of a consoling tree monster.",108,NULL
s6047,Movie,"A Most Violent Year","J.C. Chandor","Oscar Isaac, Jessica Chastain, David Oyelowo, Albert Brooks, Elyes Gabel, Catalina Sandino Moreno, Christopher Abbott, Peter Gerety, Alessandro Nivola","United Arab Emirates, United States",2018-07-22,2014,R,"Dramas, Thrillers","Abel Morales tries to avoid corruption's easy path as he pursues the American Dream amid an increasingly violent business war in 1981 New York City.",125,NULL
s6048,Movie,"A Murder in the Park","Christopher S. Rech, Brandon Kimber",Unknown,"United States",2017-04-28,2014,PG-13,Documentaries,"This documentary excoriates a noted anti-death-penalty activist and his team, whose questionable methods got a convicted killer freed in 1999.",91,NULL
